鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
七堵區,房地(土地+建物)+車位,基隆市七堵區泰安路１之２０號６樓,23.03,住,,,1091012,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120602,116.15,2,2,1,有,有,6400000,61807,坡道機械,29.59,1050000,1含地下一層機車位二位  2買賣私契由賣方提供地政士僅受託登記含裝潢費200000元；預售屋、或土地及建物分件登記案件；,RPPRMLNJRHIGFDC28DA,50.89,0.0,5.09,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區泰安路１之１１號１１樓,38.02,住,,,1091020,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120602,163.49,3,2,2,有,有,10250000,65347,坡道平面,29.59,1500000,1含地下一層機車位一位  2買賣私契由賣方提供地政士僅受託登記預售屋、或土地及建物分件登記案件；,RPSWMLNJRHIGFDC09DA,79.46,0.0,8.27,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街１３７號七樓,41.39,住,,,1091021,土地1建物1車位2,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120809,200.34,4,2,2,有,有,12300000,62722,坡道平面,53.66,3100000,預售屋、或土地及建物分件登記案件；,RPRQMLOJIIIGFDC67DA,82.01,6.75,8.99,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區泰安路１之１１號１０樓,38.02,住,,,1090918,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120602,163.49,3,2,2,有,有,10350000,66094,坡道平面,29.59,1500000,1含地下一層機車位一位2買賣私契由賣方提供地政士僅受託登記預售屋、或土地及建物分件登記案件；,RPWSMLNJRHIGFDC09DA,79.46,0.0,8.27,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街１５１號三樓,27.4,住,,,1090930,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120809,124.1,2,2,1,有,有,7850000,64254,坡道平面,26.83,1600000,預售屋、或土地及建物分件登記案件；,RPVSMLMJIIIGFDC08DA,51.54,6.71,6.59,有,
信義區,房地(土地+建物)+車位,基隆市信義區褔民街８２號三樓,54.69,住,,,1090806,土地1建物1車位1,三層，四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120502,200.82999999999998,3,2,3,有,有,9130000,49597,坡道平面,36.92,1000000,,RPVNMLKMOHIGFDC18DA,107.35,0.0,12.89,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區泰安路１之１０號９樓,38.02,住,,,1090820,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120602,163.49,3,2,2,有,有,10000000,63480,坡道平面,29.59,1500000,1含地下一層機車位一位2買賣私契由賣方提供地政士僅受託登記預售屋、或土地及建物分件登記案件；,RPQNMLTJRHIGFDC58DA,79.46,0.0,8.27,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區泰安路１之１０號８樓,38.02,住,,,1090824,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120602,167.32,3,2,2,有,有,10000000,61715,坡道平面,29.59,1500000,1含地下一層機車位二位2買賣私契由賣方提供地政士僅受託登記含裝潢費400000元；預售屋、或土地及建物分件登記案件；,RPVVMLNJRHIGFDC66DA,79.46,0.0,8.27,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街１３５號十樓,40.81,住,,,1090826,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120809,173.51,4,2,2,有,有,10300000,59995,坡道平面,26.83,1500000,預售屋、或土地及建物分件登記案件；,RPVPMLOJIIIGFDC97DA,82.01,6.75,8.99,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街１３５號七樓,40.81,住,,,1090821,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120809,173.51,4,2,2,有,有,10380000,59858,坡道平面,26.83,1600000,預售屋、或土地及建物分件登記案件；,RPSPMLOJIIIGFDC67DA,82.01,6.75,8.99,有,
