鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
中山區,建物,臺北市中山區合江街２０巷１４號三樓,0.0,商,,,1120723,土地0建物0車位0,三層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0640626,26.21,1,0,1,有,無,有,16000,610,,0.0,0,此為分租套房，第三層共分成2間，一間面積約為26.21平方公尺。電費及每月水費250元、垃圾費650元皆由承租人負擔。,RPVNMLLKQHIGFCA08CC,,,,,,
內湖區,建物,臺北市內湖區民權東路六段１８０巷９２之２號,0.0,住,,,1120804,土地0建物1車位0,一層,11,店面(店鋪),一般零售業甲組（不含便利商店）,鋼筋混凝土造,1050322,78.77,0,1,1,有,有,無,33000,419,,0.0,0,,RPWNMLLKQHIGFCA18CC,,,,,,
中山區,建物,臺北市中山區民生東路二段１０７號３樓,0.0,商,,,1120726,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),,加強磚造,,98.3,0,0,0,無,無,無,46000,468,,0.0,0,含管理費、稅金或水電等費用。；,RPOOMLLKQHIGFCA47CC,,,,,,
中山區,建物,臺北市中山區新生北路二段６８巷９號九樓之６,0.0,商,,,1120727,土地0建物1車位0,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971229,66.31,1,1,1,有,有,有,36506,551,,0.0,0,含管理費、稅金或水電等費用。；,RPPOMLLKQHIGFCA57CC,,,,,,
中山區,建物,臺北市中山區林森北路３５１號十樓之１,0.0,商,,,1120720,土地0建物1車位0,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1021101,204.06,3,2,2,有,有,有,96500,473,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPQOMLLKQHIGFCA67CC,,,,,,
中山區,建物,臺北市中山區中山北路二段６５巷９號十二樓,0.0,商,,,1120731,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0901112,66.69,3,1,1,有,有,有,40000,600,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPROMLLKQHIGFCA77CC,,,,,,
信義區,建物,臺北市信義區莊敬路３９１巷３號三樓,0.0,住,,,1120728,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730223,87.09,3,2,2,有,無,有,30000,344,,0.0,0,租賃期間含免租金裝潢期。,RPPNMLLKQHIGFDA57CC,,,,,,
松山區,房地(土地+建物),臺北市松山區復興北路５７號八樓之３,0.0,商,,,1120808,土地0建物1車位0,八層,16,辦公商業大樓,商業用,鋼筋混凝土造,0741029,96.06,0,0,0,無,有,無,68000,708,,0.0,0,租賃期間為1年15天,RPQNMLLKQHIGFDA67CC,,,,,,
南港區,建物,臺北市南港區重陽路４７９號１２樓,0.0,工,,,1120802,土地0建物1車位0,十二層,15,辦公商業大樓,策略性產業（資訊服務業）,鋼骨造,1060303,609.8299999999999,0,0,0,無,有,有,406756,667,,0.0,0,租金含稅。,RPRNMLLKQHIGFDA77CC,,,,,,
南港區,建物,臺北市南港區三重路１９之１號２樓,0.0,住,,,1120810,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690125,108.47,0,0,0,無,無,無,42000,387,,0.0,0,,RPTNMLLKQHIGFDA97CC,,,,,,
松山區,建物,臺北市松山區八德路三段１６５號五樓之３,0.0,商,,,1120714,土地0建物1車位0,五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1070331,88.08,2,1,2,有,有,有,54000,613,,0.0,0,含管理費、稅金或水電等費用。；,RPUNMLLKQHIGFDA08CC,,,,,,
松山區,建物,臺北市松山區八德路二段３４８號十三樓之５,0.0,商,,,1120731,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980123,69.57,2,1,2,有,有,有,42000,604,,0.0,0,含管理費、稅金或水電等費用。；,RPVNMLLKQHIGFDA18CC,,,,,,
士林區,建物,臺北市士林區中山北路六段１９５巷６號十一樓之２,0.0,住,,,1120726,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970506,147.5,2,2,2,有,有,有,80000,542,,0.0,0,含管理費、稅金或水電等費用。；,RPPNMLLKQHIGFEA67CC,,,,,,
士林區,建物,臺北市士林區中正路４３２號十三樓,0.0,商,,,1120729,土地0建物1車位1,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890211,161.18,3,2,2,有,有,有,41200,256,坡道平面,0.0,0,,RPQNMLLKQHIGFEA77CC,,,,,,
士林區,建物,臺北市士林區重慶北路四段２２２號七樓之２,0.0,住,,,1120729,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060413,72.43,2,2,1,有,有,有,32000,442,,0.0,0,租金含管理費。含增建或未登記建物。；,RPRNMLLKQHIGFEA87CC,,,,,,
士林區,建物,臺北市士林區葫蘆街７０巷１４號三樓,0.0,住,,,1120731,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670117,91.86,3,2,1,有,無,有,23000,250,,0.0,0,,RPVNMLLKQHIGFEA28CC,,,,,,
北投區,房地(土地+建物),臺北市北投區石牌路一段１６６巷３１弄１２號,127.0,住,,,1120630,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0541222,73.04,3,2,2,有,無,有,30000,411,,0.0,0,C1AE11207040016,RPXNMLLKQHIGFEA48CC,,,,,,
