鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
溪湖鎮,房地(土地+建物)+車位,彰化縣溪湖鎮湖南段323地號,38.23,住,,,1120826,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.04,3,1,2,有,無,8430000,83979,一樓平面,11.97,950000,,RPPNMLKMQHIGFHN66CB,首億寬寓,A棟2號,
溪湖鎮,房地(土地+建物)+車位,彰化縣溪湖鎮湖南段323地號,23.51,住,,,1120824,土地1建物1車位1,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.48,2,1,1,有,無,5200000,77464,一樓平面,11.97,900000,,RPPNMLLMQHIGFHN76CB,首億寬寓,B棟1號,
溪湖鎮,房地(土地+建物)+車位,彰化縣溪湖鎮湖南段323地號,32.91,住,,,1120825,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.92,2,1,1,有,無,6800000,76023,一樓平面,11.97,950000,,RPQNMLLMQHIGFHN86CB,首億寬寓,C棟2號,
溪湖鎮,房地(土地+建物)+車位,彰化縣溪湖鎮湖南段323地號,38.23,住,,,1120825,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.04,3,1,1,有,無,7880000,77243,一樓平面,11.97,1000000,,RPRNMLLMQHIGFHN96CB,首億寬寓,F棟3號,
芬園鄉,房地(土地+建物),彰化縣芬園鄉嘉東街,30.9,,特定農業區,甲種建築用地,1120811,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.8,3,2,2,有,無,7220000,74587,,0.0,0,,RPPNMLLJRHIGFAN48CB,廣宣薪世代,B5-3F棟0號,
芬園鄉,房地(土地+建物),彰化縣芬園鄉嘉東街,30.91,,特定農業區,甲種建築用地,1120813,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.8,3,2,2,有,無,7220000,74587,,0.0,0,,RPQNMLLJRHIGFAN58CB,廣宣薪世代,A5-3F棟0號,
花壇鄉,房地(土地+建物)+車位,彰化縣花壇鄉口庄街319號對面,45.63,住,,,1120812,土地2建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.52,3,2,2,有,無,8880000,84231,升降機械,12.0,750000,,RPRNMLLJRHIGFAN68CB,辰品雲川,C2-2F號,
花壇鄉,房地(土地+建物)+車位,彰化縣花壇鄉口庄街319號對面,45.63,住,,,1120824,土地2建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.52,3,2,2,有,無,9700000,85993,一樓平面,24.0,1400000,,RPTNMLLJRHIGFAN88CB,辰品雲川,A1-6F號,
大村鄉,房地(土地+建物)+車位,彰化縣大村鄉大智路一段,36.03,住,,,1120831,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.03,2,1,2,有,無,7200000,86716,一樓平面,12.75,0,,RPPNMLLJRHIGFDN78CB,慶吉喜樂Ⅱ,A號,
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮中山路,40.04,住,,,1120826,土地6建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.73,2,2,1,有,無,5650000,70864,升降機械,0.0,780000,,RPQNMLLJRHIGFFN09CB,富築苑 NO.3期,G棟2G號,
