鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路,28.26,住,,,1120912,土地5建物1車位2,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.8,4,2,2,有,無,19020000,110558,坡道平面,65.08,3020000,,RPWNMLOJIIIGFID48CB,宗大青田,B棟1號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路,23.6,住,,,1120915,土地5建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.97,3,2,2,有,無,14430000,105775,坡道平面,32.54,1480000,,RPXNMLOJIIIGFID58CB,宗大青田,B棟2號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路,21.52,住,,,1120912,土地5建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.67,3,2,2,有,無,13680000,108267,坡道平面,32.54,1540000,,RPOOMLOJIIIGFID77CB,宗大青田,B棟3號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路,21.52,住,,,1120915,土地5建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.67,3,2,2,有,無,14180000,112637,坡道平面,32.54,1550000,,RPPOMLOJIIIGFID87CB,宗大青田,B棟3號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路,21.52,住,,,1120915,土地5建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.67,3,2,2,有,無,13760000,109337,坡道平面,32.54,1500000,,RPQOMLOJIIIGFID97CB,宗大青田,B棟5號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路,21.52,住,,,1120912,土地5建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.67,3,2,2,有,無,13980000,110943,坡道平面,32.54,1540000,,RPROMLOJIIIGFID08CB,宗大青田,B棟5號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路,20.73,住,,,1120912,土地6建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.05,3,2,2,有,無,12950000,104004,坡道平面,25.92,1600000,,RPSOMLOJIIIGFID18CB,宗大青田,D棟6號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路,20.73,住,,,1120915,土地6建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.05,3,2,2,有,無,13060000,106479,坡道平面,25.92,1440000,,RPTOMLOJIIIGFID28CB,宗大青田,E棟6號,
仁德區,房地(土地+建物)+車位,臺南市仁德區文賢路一段563號旁,34.24,住,,,1121004,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.95,3,2,2,有,無,13260000,91832,坡道平面,27.89,1500000,,RPUOMLOJIIIGFID38CB,森LaVie,A棟2號,
永康區,房地(土地+建物)+車位,臺南市永康區永善路、永善一街前後臨路。,25.59,住,,,1120929,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.72,3,2,2,有,無,16650000,112822,坡道平面,24.97,1560000,,RPPNMLOJIIIGFKD97CB,遠雄東御苑,B棟B06F09號,
