鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
竹山鎮,房地(土地+建物),南投縣竹山鎮和育一巷,106.3,住,,,1120926,土地5建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,159.62,4,3,3,有,無,10700000,67034,,0.0,0,一樓有停車空間,RPSNMLMKIIIGFDM38CB,山水竹苑,B棟6號,
竹山鎮,房地(土地+建物),南投縣竹山鎮和育一巷,104.52,住,,,1121001,土地5建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,159.62,4,3,3,有,無,10200000,63902,,0.0,0,一樓有停車空間,RPTNMLMKIIIGFDM48CB,山水竹苑,B棟12號,
南投市,房地(土地+建物)+車位,南投縣南投市大同街,23.41,住,,,1121011,土地2建物1車位1,五層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,131.35,3,2,2,有,無,10200000,84377,坡道機械,18.76,700000,,RPPNMLNKIIIGFAM87CB,市政中山,B棟0號,
草屯鎮,房地(土地+建物),南投縣草屯鎮登輝路,40.66,住,,,1120926,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,100.33,3,2,2,有,無,8930000,89006,,0.0,0,,RPPNMLNKIIIGFBM97CB,大名人光輝(大樓),A棟2號,
南投市,房地(土地+建物)+車位,南投縣南投市彰南路二段630巷,31.61,住,,,1120920,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,107.7,3,1,2,有,無,8830000,87315,坡道平面,19.17,1100000,,RPPNMLNKIIIGFAM97DB,福崗晴園,A棟2號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮北投路,27.76,,鄉村區,乙種建築用地,1120929,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.95,3,2,2,有,無,10380000,86517,坡道平面,37.0,1300000,,RPRNMLNKIIIGFBM28DB,群合i do,E棟8號,
南投市,房地(土地+建物),南投縣南投市華陽路,132.62,住,,,1121015,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,179.0,4,3,4,有,無,15580000,87039,,0.0,0,,RPPNMLPKIIIGFAM08CB,首富森境,A棟13號,
草屯鎮,房地(土地+建物),南投縣草屯鎮登輝路,42.07,住,,,1121013,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,103.86,3,2,2,有,無,9030000,86944,,0.0,0,,RPPNMLQKIIIGFBM28CB,大名人光輝(大樓),E棟1號,
南投市,房地(土地+建物),南投縣南投市華陽路82巷,101.97,其他,,,1121010,土地3建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,157.55,5,3,5,有,無,15680000,99524,,0.0,0,,RPSNMLQKIIIGFAM58DB,玖岩豐華,B26棟,
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,34.44,住,,,1121008,土地12建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.59,3,2,2,有,無,9180000,73948,坡道平面,25.0,1150000,,RPPNMLRKIIIGFAM28CB,首富京華,A7棟4號,
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,34.44,住,,,1121007,土地12建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.59,3,2,2,有,無,9480000,75790,坡道平面,25.0,1250000,,RPQNMLRKIIIGFAM38CB,首富京華,A7棟6號,
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,28.17,住,,,1121008,土地12建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.81,2,2,1,有,無,7880000,75780,坡道平面,25.0,1150000,,RPRNMLRKIIIGFAM48CB,首富京華,B2棟6號,
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,27.55,住,,,1121007,土地12建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.87,2,2,1,有,無,7680000,75170,坡道平面,25.0,1150000,,RPSNMLRKIIIGFAM58CB,首富京華,B7棟6號,
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,35.3,住,,,1121007,土地12建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.29,3,2,2,有,無,9830000,77096,坡道平面,25.0,1250000,,RPTNMLRKIIIGFAM68CB,首富京華,A2棟7號,
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,28.17,住,,,1121007,土地12建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.81,2,2,1,有,無,7930000,76343,坡道平面,25.0,1150000,,RPUNMLRKIIIGFAM78CB,首富京華,B2棟7號,
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,36.78,住,,,1121008,土地12建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.91,3,2,2,有,無,10530000,80062,坡道平面,25.0,1250000,,RPVNMLRKIIIGFAM88CB,首富京華,A1棟12號,
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,48.5,住,,,1121008,土地12建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,177.87,4,2,2,有,無,14830000,88834,坡道平面,25.0,1250000,,RPWNMLRKIIIGFAM98CB,首富京華,A1棟13號,
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,48.5,住,,,1121009,土地12建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,177.87,4,2,2,有,無,14830000,88834,坡道平面,25.0,1250000,,RPXNMLRKIIIGFAM09CB,首富京華,A5棟13號,
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,34.44,住,,,1121013,土地12建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.59,3,2,2,有,無,9430000,76250,坡道平面,25.0,1150000,,RPOOMLRKIIIGFAM28CB,首富京華,A6棟7號,
南投市,房地(土地+建物)+車位,南投縣南投市彰南路三段1161巷,27.22,住,,,1121010,土地3建物1車位1,一層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,101.55,2,2,2,有,無,5300000,57108,坡道平面,27.13,1050000,,RPPNMLSKIIIGFAM38CB,萬景山河,B棟B7號,
