編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVOMLRJJIIGFAT07DA,36,118.92,住家用,加強磚造,76年7月2日,二層,一層 二層 屋頂突出物,全筆移轉
RPUOMLTLJIIGFAT37DA,28,197.33,住家用,鋼筋混凝土造,84年11月6日,五層,一層 二層 三層 四層 五層 陽台,全筆移轉
RPUOMLTLJIIGFAT37DA,28,2.35,管理中心,鋼筋混凝土造,84年11月6日,五層,,持分移轉
RPPNMLRJKIIGFCT76EA,20,185.32,見使用執照,鋼筋混凝土造,92年12月15日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓,全筆移轉
RPRNMLRJKIIGFDT07EA,2,309.06,住家用,鋼筋混凝土構造,110年8月13日,三層,一層 二層 三層 陽台,全筆移轉
RPUNMLNJIIIGFAT98DA,30,39.31,住家用,鋼筋混凝土造,83年1月14日,一層,一層 屋頂突出物,全筆移轉
RPVNMLQKJIIGFAT96DA,26,92.61,集合住宅,鋼筋混凝土造,86年7月19日,六層,三層 陽台,全筆移轉
RPVNMLQKJIIGFAT96DA,26,34.80,受電室，機械室，水箱，電梯間，停車空間，公共面積,鋼筋混凝土造,86年7月19日,六層,,持分移轉
RPROMLMKIIIGFAT78DA,30,129.57,住商用,鋼筋混凝土造,82年6月1日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPPNMLNKIIIGFFT09DA,3,241.54,住家用,鋼筋混凝土造,109年7月31日,三層,一層 二層 三層 陽台,全筆移轉
RPWOMLLKIIIGFCT76DA,,358.41,門廊、住宅、樓梯間,鋼筋混凝土造,112年8月17日,二層,一層 二層 陽台 見其他登記事項,全筆移轉
RPOPMLLKIIIGFCT68DA,,367.57,門廊、住宅、樓梯間,鋼筋混凝土造,112年8月17日,二層,一層 二層 陽台 見其他登記事項,全筆移轉
RPPOMLTKIIIGFAT66DA,29,91.28,集合住宅,鋼筋混凝土造,83年7月1日,十六層,四層 陽台 花台,全筆移轉
RPPOMLTKIIIGFAT66DA,29,27.52,樓梯間，開放空間，公共設施，防空避難室，停車空間,鋼筋混凝土造,83年7月1日,十六層,,持分移轉
RPPNMLSKIIIGFCT76EA,48,30.11,住家用,加強磚造,64年8月26日,二層,一層 二層,持分移轉
RPPNMLRKIIIGFCT66EA,,291.99,門廊、住宅、樓梯間,鋼筋混凝土造,112年8月17日,二層,一層 二層 陽台 見其他登記事項,全筆移轉
RPRNMLRKIIIGFAT56DA,16,13.81,辦公室,鋼筋混凝土造,96年5月30日,八層,七層 雨遮,全筆移轉
RPRNMLRKIIIGFAT56DA,16,11.61,梯廳、防空避難室、停車空間、水箱、機械室,鋼筋混凝土造,96年5月30日,八層,,持分移轉
RPPNMLTKIIIGFBT76EA,67,15.00,住家用,石造,45年9月14日,一層,一層,全筆移轉
RPRNMLQKIIIGFBT56DA,44,71.40,住家用,加強磚造,68年5月16日,二層,一層 二層,全筆移轉
RPOOMLSKIIIGFCT66DA,1,187.48,門廊、住宅、樓梯間,鋼筋混凝土構造,111年8月18日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPXNMLNLIIIGFCT07DA,44,89.60,住商用,加強磚造,68年10月13日,二層,一層 二層 騎樓,全筆移轉
RPXNMLKLIIIGFAT56DA,29,32.32,商業用,鋼筋混凝土造,84年2月24日,七層,三層 陽台,全筆移轉
RPXNMLKLIIIGFAT56DA,29,16.33,受電室，避難室，水箱，停車空間,鋼筋混凝土造,84年2月24日,七層,,持分移轉
RPQNMLNLIIIGFAT78DA,6,55.18,集合住宅,鋼筋混凝土造,107年3月30日,五層,一層,全筆移轉
RPRNMLNLIIIGFAT88DA,28,26.17,集合住宅,鋼筋混凝土造,84年6月6日,五層,三層 陽台,全筆移轉
RPQNMLNLIIIGFAT78DA,6,12.46,集合住宅,鋼筋混凝土造,107年3月30日,五層,,持分移轉
RPRNMLNLIIIGFAT88DA,28,4.26,公共梯間，机械室，冰箱,鋼筋混凝土造,84年6月6日,五層,,持分移轉
RPTOMLLKIIIGFCT09DA,24,17.28,住家用,鋼筋混凝土造,88年11月30日,五層,二層 陽台,全筆移轉
RPTOMLLKIIIGFCT09DA,24,7.10,梯間、機械室、電信室、台電配電室、水塔、停車空間,鋼筋混凝土造,88年11月30日,五層,,持分移轉
RPVNMLNLIIIGFDT96DA,45,167.82,店舖　住宅,加強磚造,67年5月16日,二層,一層 二層 騎樓,全筆移轉
RPPNMLPLIIIGFCT56EA,33,182.34,住家用,鋼筋混凝土造,79年10月18日,三層,一層 二層 三層 陽台,全筆移轉
RPUNMLTKIIIGFET47DA,28,15.93,共同部份,鋼筋混凝土造,84年11月17日,十二層,,持分移轉
RPUNMLTKIIIGFET47DA,28,21.77,住家用,鋼筋混凝土造,84年11月17日,十二層,九層,全筆移轉
RPPNMLQLIIIGFDT76EA,28,189.00,工業用,鋼造,84年12月1日,一層,一層 夾層,全筆移轉
RPPNMLPLIIIGFDT66EA,43,89.28,店鋪、住宅,加強磚造,69年12月18日,二層,一層 二層 騎樓,全筆移轉
RPOPMLOLIIIGFAT88DA,40,84.07,住家用,鋼筋混凝土造,73年3月16日,五層,五層,全筆移轉
RPOPMLOLIIIGFAT88DA,40,11.11,共同部份,鋼筋混凝土造,73年3月16日,,,持分移轉
RPPNMLRKIIIGFCT56DA,19,6.15,見使用執照,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPPNMLRKIIIGFCT56DA,19,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPPNMLRKIIIGFCT56DA,19,1.11,見使用執照,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPPNMLRKIIIGFCT56DA,19,11.92,見使用執照,鋼筋混凝土造,93年7月12日,六層,六層 陽台,全筆移轉
RPWOMLQLIIIGFCT37DA,28,17.09,住家用,鋼筋混凝土造,84年7月10日,六層,二層 陽台,全筆移轉
RPWOMLQLIIIGFCT37DA,28,11.17,住家用,鋼筋混凝土造,84年7月10日,六層,,持分移轉
