鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西屯區,房地(土地+建物)+車位,臺中市西屯區逢明街２９巷７０號６樓之３,15.46,住,,,1120718,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041021,101.6,1,1,1,有,有,有,20000,197,坡道平面,31.73,0,,RPSNMLTJQHIGFCB58CC
南屯區,房地(土地+建物),臺中市南屯區文心南三路５２８號８樓之３,5.04,商,,,1120730,土地1建物1車位0,八層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090831,64.35,1,1,1,有,有,有,21500,334,,0.0,0,,RPTNMLTJQHIGFCB68CC
西屯區,建物,臺中市西屯區國安一路２０６巷１２號三樓之３,0.0,住,,,1120727,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0850615,130.35000000000002,3,2,2,有,有,有,19700,151,,0.0,0,住宅及都市更新中心辦理社會住宅包租代管計畫。水電費、瓦斯費由承租人負擔。,RPUNMLTJQHIGFCB78CC
南屯區,建物,臺中市南屯區文心南五路一段３９３號５樓之３,0.0,住,,,1120802,土地0建物1車位0,五層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080611,126.61,3,2,2,有,有,有,20800,164,,0.0,0,社會住宅包租代管案件租金市價打9折，此租約訂定租金不含管理費，費用由承租人另行支付。土地所有權人非建物所有權人，故土地持分面積無法計算。,RPVNMLTJQHIGFCB88CC
南屯區,建物,臺中市南屯區文心南五路一段３９３號９樓之２,0.0,住,,,1120802,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080611,88.34,2,2,2,有,有,有,18000,204,,0.0,0,社會住宅包租代管案件租金市價打9折，此租約訂定租金不含管理費，費用由承租人另行支付。有機車停車位2個200元/月。土地所有權人非建物所有權人，故土地持分面積無法計算。,RPXNMLTJQHIGFCB09CC
南屯區,建物,臺中市南屯區文心南五路一段３９３號４樓之３,0.0,住,,,1120802,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080611,126.61,3,2,2,有,有,有,19900,157,,0.0,0,社會住宅包租代管案件租金市價打9折，此租約訂定租金不含管理費、車位管理費，費用由承租人另行支付。有機車停車位2個200元/月。土地所有權人非建物所有權人，故土地持分面積無法計算。,RPOOMLTJQHIGFCB28CC
南屯區,建物,臺中市南屯區文心南五路一段３９３號８樓之１,0.0,住,,,1120802,土地0建物1車位0,八層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080611,126.61,3,2,2,有,有,有,22100,175,,0.0,0,社會住宅包租代管案件租金市價打9折，此租約訂定租金不含管理費、車位管理費，費用由承租人另行支付。有機車停車位1個100元/月。土地所有權人非建物所有權人，故土地持分面積無法計算。,RPPOMLTJQHIGFCB38CC
西屯區,建物,臺中市西屯區甘肅路一段１０號１２樓之３,0.0,商,,,1120710,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860203,35.57,1,0,0,無,有,有,8000,225,,0.0,0,,RPQOMLTJQHIGFCB48CC
西屯區,建物,臺中市西屯區福上巷龍欣一弄３號２樓之２,0.0,住,,,1120710,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781028,21.5,1,0,0,無,無,有,6000,279,,0.0,0,,RPROMLTJQHIGFCB58CC
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段３９９號２６樓之１,23.11,住,,,1120802,土地1建物1車位2,見其他登記事項,35,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,1050127,401.58,3,2,3,有,有,有,100000,249,坡道平面,32.23,0,,RPSOMLTJQHIGFCB68CC
南屯區,建物,臺中市南屯區向心路１０９號八樓之１５,0.0,住,,,1120801,土地0建物1車位0,八層,23,套房(1房1廳1衛),住家用,鋼筋混凝土造,0861216,54.06,1,1,1,有,有,有,13500,250,,0.0,0,租金含管理費。,RPTOMLTJQHIGFCB78CC
西屯區,建物,臺中市西屯區上安路１７３巷１７號四樓之１,0.0,商,,,1120730,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840526,114.91999999999999,2,2,1,有,有,有,12000,104,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫；每月水電、瓦斯費由承租人負擔。,RPUOMLTJQHIGFCB88CC
西屯區,房地(土地+建物),臺中市西屯區至善路６７號６樓之２,10.03,住,,,1120722,土地1建物1車位0,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840830,115.76,3,2,2,有,有,有,20000,173,,0.0,0,此為社會住宅包租代管,RPVOMLTJQHIGFCB98CC
北屯區,建物,臺中市北屯區柳陽西街５２號５樓之１,0.0,住,,,1120802,土地0建物0車位0,五層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830428,18.45,1,1,1,有,無,有,6000,325,,0.0,0,租賃面積含陽台,RPPNMLTJQHIGFBB18CC
北區,房地(土地+建物),臺中市北區進化北路３６７號１３樓之８,2.51,商,,,1120730,土地1建物1車位0,十三層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830207,29.759999999999998,1,0,1,有,有,有,6700,225,,0.0,0,社會住宅包租代管案件租金市價打9折，此租約訂定租金不含管理費，費用由承租人另行支付。,RPQNMLTJQHIGFBB28CC
北區,房地(土地+建物),臺中市北區健行路４４３號１０樓之１９,3.96,住,,,1120731,土地1建物1車位0,十層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840526,35.0,1,0,1,有,有,有,6000,171,,0.0,0,社會住宅包租代管案件租金市價打9折，此租約訂定租金不含管理費，費用由承租人另行支付。,RPRNMLTJQHIGFBB38CC
北區,房地(土地+建物)+車位,臺中市北區北平四街５號１１樓之９,8.55,商,,,1120719,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1071130,89.94,1,1,1,有,有,有,21000,233,坡道平面,28.35,0,,RPSNMLTJQHIGFBB48CC
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路三段６７２號８樓之５,11.37,商,,,1120715,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1070914,126.72,2,2,1,有,有,有,25000,197,坡道平面,26.83,0,,RPTNMLTJQHIGFBB58CC
北區,建物,臺中市北區美德街３５２巷６號,0.0,住,,,1120710,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0690214,46.84,1,0,0,無,無,有,6500,139,,0.0,0,,RPUNMLTJQHIGFBB68CC
北區,建物,臺中市北區美德街３５２巷５號,0.0,住,,,1120710,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0690214,47.73,1,1,1,有,無,有,11500,241,,0.0,0,,RPVNMLTJQHIGFBB78CC
北區,房地(土地+建物)+車位,臺中市北區北平四街５號１１樓之７,8.55,商,,,1120712,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1071130,89.94,1,1,1,有,有,有,20000,222,坡道平面,28.35,0,,RPWNMLTJQHIGFBB88CC
