鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
番路鄉,房地(土地+建物),嘉義縣番路鄉下坑村８鄰下坑４０之１２號,122.25,住,,,1120626,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0820308,191.08,5,1,3,有,無,有,12500,65,,0.0,0,嘉義縣政府包租代管計畫；水電瓦斯費由承租人負擔。,RPPNMLSLOHIGFEQ27CC
朴子市,房地(土地+建物),嘉義縣朴子市嘉朴路西段５３號六樓２,36.18,住,,,1120627,土地1建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860110,120.52,3,2,2,有,有,有,12000,100,,0.0,0,,RPPNMLTLOHIGFBQ07CC
水上鄉,房地(土地+建物),嘉義縣水上鄉三鎮村南靖車站１３３之１號,93.46,,鄉村區,乙種建築用地,1120629,土地1建物1車位0,全,1,透天厝,住家用,磚造,0691029,65.1,3,2,1,有,無,有,6500,100,,0.0,0,,RPPNMLNJPHIGFDQ56CC
中埔鄉,房地(土地+建物),嘉義縣中埔鄉和興村中華路６５５巷１０弄１９號,56.04,住,,,1120626,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0670710,88.0,6,2,2,有,無,有,10000,114,,0.0,0,嘉義縣政府包租代管計畫。水電費、瓦斯費由承租人負擔。,RPQNMLNJPHIGFDQ66CC
水上鄉,建物,嘉義縣水上鄉中山路二段３３０號,142.77,住,,,1120704,土地0建物1車位0,見其他登記事項,2,店面(店鋪),住家用,鋼筋混凝土加強磚造,0650409,66.24,0,0,0,無,無,無,13000,196,,0.0,0,,RPPNMLPJPHIGFDQ76CC
竹崎鄉,房地(土地+建物),嘉義縣竹崎鄉復金村１９鄰白樹?５之１１號,112.0,,一般農業區,丙種建築用地,1120630,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0690331,98.32,4,1,2,有,無,有,7000,71,,0.0,0,嘉義縣政府包租代管計畫。水電費、瓦斯費由承租人負擔。,RPPNMLRJPHIGFEQ07CC
民雄鄉,房地(土地+建物),嘉義縣民雄鄉興中村劉竹仔?１之１８號,77.0,農,,,1120707,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0710222,107.79,8,1,3,有,無,有,8000,74,,0.0,0,嘉義縣政府包租代管計畫；水電瓦斯費由承租人負擔。,RPPNMLKKPHIGFCQ88CC
民雄鄉,建物,嘉義縣民雄鄉興南村１６鄰頭橋７１７號四樓,0.0,住,,,1120706,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0811130,99.03,3,1,2,有,有,有,11000,111,,0.0,0,嘉義縣政府包租代管計畫；水電瓦斯費及每月管理費600元皆由承租人負擔。,RPPNMLLKPHIGFCQ98CC
新港鄉,建物,嘉義縣新港鄉大潭村大潭５５之２號,0.0,,鄉村區,乙種建築用地,1120629,土地0建物0車位0,二層,3,套房(1房1廳1衛),住家用,鋼筋混凝土造,1100202,29.54,1,0,1,有,無,有,6100,206,,0.0,0,此為分租套房，第二層共分成4間，一間平均面積約為29.54平方公尺，電費及每月水費150元皆為承租人負擔。,RPQNMLMKPHIGFCQ56CC
新港鄉,建物,嘉義縣新港鄉大潭村大潭５５之２號,0.0,,鄉村區,乙種建築用地,1120630,土地0建物0車位0,三層,3,套房(1房1廳1衛),住家用,鋼筋混凝土造,1100202,32.36,1,0,1,有,無,有,6100,189,,0.0,0,此為分租套房，第三層共分成3間，一間平均面積約為32.36平方公尺，電費及每月水費150元皆為承租人負擔。,RPRNMLMKPHIGFCQ66CC
