鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
三民區,房地(土地+建物)+車位,高雄市三民區平等路和延慶街路口B07棟13樓,19.8,住,,,1120729,土地1建物1車位1,十三層,30,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,176.88,3,2,2,有,無,22860000,131772,坡道平面,18.5,1990000,,RPTNMLLJQHIGFDE18CB,遠雄琢蘊,B07F13號,
,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1120725,土地0建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.45,3,2,2,有,無,10330000,77754,坡道平面,27.6,1400000,總價含地上權標的價款357萬元交易總價含下列非屬預售屋價格之費用:地上權房屋；,RPUNMLLJQHIGFDE28CB,KS1,A6棟0號,
,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1120719,土地0建物1車位1,一層,15,店面(店鋪),住商用,鋼筋混凝土造,,99.81,0,0,0,無,無,12980000,155962,坡道平面,24.92,1300000,總價含地上權標的價款467萬元交易總價含下列非屬預售屋價格之費用:地上權房屋；,RPVNMLLJQHIGFDE38CB,KS1,S17棟0號,
,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1120720,土地0建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.45,3,2,2,有,無,10500000,79234,坡道平面,27.6,1400000,總價含地上權標的價款364萬元交易總價含下列非屬預售屋價格之費用:地上權房屋；,RPXNMLLJQHIGFDE58CB,KS1,B8棟0號,
,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1120725,土地0建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.46,2,1,1,有,無,7000000,75819,坡道平面,27.6,1400000,總價含地上權標的價款224萬元交易總價含下列非屬預售屋價格之費用:地上權房屋；,RPOOMLLJQHIGFDE77CB,KS1,A3棟0號,
湖內區,房地(土地+建物),高雄市湖內區民族街,98.81,住,,,1120705,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,197.05,5,2,5,有,無,14500000,73585,,0.0,0,,RPPNMLLJQHIGFJE38CB,鉑晶捷座,B棟6號,
仁武區,房地(土地+建物)+車位,高雄市仁武區霞海南三街,22.83,住,,,1120713,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.96,3,2,2,有,無,9650000,76313,坡道平面,25.75,1850000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLJQHIGFIE28CB,向young,A棟3號,
仁武區,房地(土地+建物)+車位,高雄市仁武區京吉二路/京吉七路,14.92,商,,,1120720,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,128.59,2,2,2,有,無,11380000,86483,坡道平面,16.66,1700000,,RPQNMLLJQHIGFIE38CB,希望之星,B7棟5號,
仁武區,房地(土地+建物)+車位,高雄市仁武區京吉二路/京吉七路,12.41,商,,,1120725,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,109.94,1,2,2,有,無,10980000,99485,坡道平面,16.66,1700000,,RPRNMLLJQHIGFIE48CB,希望之星,B3棟2號,
仁武區,房地(土地+建物)+車位,高雄市仁武區霞海南三街,22.83,住,,,1120709,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.96,3,2,2,有,無,10680000,85119,坡道平面,25.75,1980000,,RPSNMLLJQHIGFIE58CB,向young,A棟3號,
仁武區,房地(土地+建物)+車位,高雄市仁武區京吉二路/京吉七路,17.78,商,,,1120801,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,150.05,2,2,2,有,無,14350000,94835,坡道平面,16.66,1700000,,RPTNMLLJQHIGFIE68CB,希望之星,B6棟9號,
仁武區,房地(土地+建物)+車位,高雄市仁武區霞海南三街,24.33,住,,,1120715,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.46,2,1,2,有,無,11080000,84486,坡道平面,25.75,1980000,本戶為2+1房隔間由客戶自行規劃,RPUNMLLJQHIGFIE78CB,向young,A棟1號,
仁武區,房地(土地+建物)+車位,高雄市仁武區霞海南三街,24.33,住,,,1120718,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.37,2,1,2,有,無,10830000,82629,坡道平面,23.66,1930000,本戶為2+1房隔間由客戶自行規劃,RPVNMLLJQHIGFIE88CB,向young,A棟1號,
仁武區,房地(土地+建物)+車位,高雄市仁武區霞海南三街,15.62,住,,,1120726,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.7,2,1,2,有,無,7690000,83488,坡道平面,25.75,1850000,,RPWNMLLJQHIGFIE98CB,向young,A棟5號,
仁武區,房地(土地+建物)+車位,高雄市仁武區霞海南三街,15.62,住,,,1120718,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.89,2,1,2,有,無,7160000,76801,坡道平面,25.75,1850000,,RPXNMLLJQHIGFIE09CB,向young,A棟10號,
大寮區,房地(土地+建物),高雄市大寮區中正路88巷128弄,19.0,其他,,,1120710,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.36,2,2,1,有,無,7400000,76007,,0.0,0,,RPPNMLLJQHIGFLE58CB,上揚湛,A3-4F號,
林園區,房地(土地+建物),高雄市林園區五福路252巷,78.37,住,,,1120716,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,149.94,5,2,4,有,無,9100000,60691,,0.0,0,,RPQNMLLJQHIGFLE68CB,皇家HOYA六期,B棟20號,
