鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
花蓮市,房地(土地+建物),花蓮縣花蓮市國民七街５１號七樓之七,2.67,商,,,1120605,土地1建物1車位0,七層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831115,29.31,1,0,1,有,有,有,5000,171,,0.0,0,,RPTNMLSLOHIGFAU77DC
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十街３０之１號,30.78,住,,,1120620,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720505,97.51,3,2,2,有,無,有,13500,138,,0.0,0,水電、瓦斯費及網路費皆由承租人負擔。,RPPNMLTLOHIGFAU37CC
花蓮市,土地,四維段451地號,54.34,農,,,1120626,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,18000,331,,0.0,0,,RPRNMLTLOHIGFAU57CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯２路２１之１１號,6.35,商,,,1120619,土地1建物1車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0690423,27.43,1,0,1,有,無,有,5000,182,,0.0,0,,RPPNMLKMOHIGFAU56CC
花蓮市,房地(土地+建物),花蓮縣花蓮市榮正街１２５巷５弄１１號,68.0,住,,,1120619,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0620724,97.46,3,2,3,有,無,有,13500,139,,0.0,0,,RPQNMLKMOHIGFAU66CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路２０號２樓之１,23.43,住,,,1120619,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760113,99.02,3,1,2,有,無,有,10000,101,,0.0,0,,RPRNMLKMOHIGFAU76CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中華路２段９３號１０樓之１,9.38,商,,,1120621,土地1建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831028,95.06,3,1,2,有,無,有,13500,142,,0.0,0,,RPTNMLKMOHIGFAU96CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中原路５６１巷７號４樓,21.5,住,,,1120620,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780624,89.67,2,1,2,有,無,有,11000,123,,0.0,0,,RPRNMLNJPHIGFAU86CC
新城鄉,建物,花蓮縣新城鄉民族路８９號,0.0,商,,,1120611,土地0建物0車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1060731,29.98,1,0,1,有,無,有,9500,317,,0.0,0,※2樓後房間,RPSNMLOJPHIGFAU07CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉全民街８０號,54.28,,鄉村區,乙種建築用地,1120702,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880414,142.12,4,2,2,有,無,有,18800,132,,0.0,0,,RPTNMLOJPHIGFAU17CC
新城鄉,房地(土地+建物),花蓮縣新城鄉光復路４９９之３０號,31.32,住,,,1120629,土地1建物1車位0,一層,6,店面(店鋪),店舖,鋼筋混凝土造,1100204,80.17,0,0,0,無,無,無,13000,162,,0.0,0,,RPPNMLOJPHIGFAU86DC
玉里鎮,建物,花蓮縣玉里鎮能雅３４、３５號,156.26,,鄉村區,乙種建築用地,1120620,土地0建物1車位0,全,1,透天厝,住家用,木石磚造（雜木）。,,87.52,7,2,6,有,無,有,30000,343,,0.0,0,1.含增建或未登記建物。玉里鎮能雅35號為稅籍建物 稅籍編號03110124000 租賃面積為100平方公尺2.租金約定及支付112/9/1-112/11/30租金為每月1萬元整112/12/1-113/8/31租金為每月3萬元整,RPPNMLOJPHIGFCU96CC
花蓮市,建物,花蓮縣花蓮市府前路２９８號,0.0,住,,,1120614,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0971002,19.83,0,0,0,無,無,有,12000,605,,0.0,0,,RPSNMLPJPHIGFAU17CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中山路一段２２２號１１樓之６,15.78,住,,,1120629,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850216,150.14000000000001,3,2,2,有,有,有,18000,120,,0.0,0,,RPTNMLPJPHIGFAU27CC
花蓮市,房地(土地+建物),花蓮縣花蓮市介林五街１８０巷５號,120.0,住,,,1120702,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0860806,273.57,3,2,2,有,無,有,22000,80,,0.0,0,,RPUNMLPJPHIGFAU37CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里一街３２號５F-５,13.4,商,,,1120618,土地2建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890509,82.59,2,1,1,有,無,有,13000,157,,0.0,0,,RPPNMLQJPHIGFAU96CC
花蓮市,房地(土地+建物),花蓮縣花蓮市富強路２６６號,0.0,住,,,1120701,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0770507,67.89,2,2,1,有,無,有,11000,162,,0.0,0,第二層,RPQNMLQJPHIGFAU07CC
花蓮市,房地(土地+建物),花蓮縣花蓮市明禮路６７巷２.４號,268.0,住,,,1120703,土地2建物2車位0,全,1,透天厝,住家用,木造,0480212,138.54,0,0,0,無,無,無,50000,361,,0.0,0,,RPSNMLQJPHIGFAU27CC
花蓮市,房地(土地+建物),花蓮縣花蓮市建成街,146.0,住,,,1120617,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0911205,252.86,4,2,4,有,無,有,22000,87,,0.0,0,,RPPNMLRJPHIGFAU07CC
花蓮市,房地(土地+建物),花蓮縣花蓮市福建街５３５號２樓之２,29.48,住,,,1120620,土地3建物2車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750920,89.76,2,2,2,有,無,有,12000,134,,0.0,0,,RPQNMLRJPHIGFAU17CC
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉北昌三街５４巷１２號３樓之２,43.68,住,,,1120629,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1100412,146.48,3,2,2,有,有,有,25000,171,一樓平面,43.1,0,,RPRNMLRJPHIGFAU27CC
花蓮市,房地(土地+建物),花蓮縣花蓮市民國路３２之２號,111.0,商,,,1120614,土地1建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0950331,69.17,0,0,0,無,無,無,25000,361,,0.0,0,1樓,RPSNMLRJPHIGFAU37CC
花蓮市,房地(土地+建物),花蓮縣花蓮市北昌五街８號,102.0,住,,,1120627,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0770112,139.72,3,3,2,有,無,無,22000,157,,0.0,0,,RPPNMLSJPHIGFAU17CC
花蓮市,房地(土地+建物),花蓮縣花蓮市建昌路１９７巷２６號四樓,20.9,住,,,1120612,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820622,73.67,2,1,1,有,無,有,11000,149,,0.0,0,,RPQNMLKKPHIGFAU56CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慈惠二街６７號三樓,15.89,住,,,1120613,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851122,61.61,2,1,1,有,有,有,12000,195,,0.0,0,,RPRNMLKKPHIGFAU66CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十三街９號四樓之五,6.36,住,,,1120626,土地1建物1車位0,四層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821014,26.39,1,0,1,有,有,有,6000,227,,0.0,0,,RPSNMLKKPHIGFAU76CC
花蓮市,房地(土地+建物),花蓮縣花蓮市華廈街９５號２F-３,26.5,住,,,1120627,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1110408,76.09,2,2,2,有,有,有,16800,221,,0.0,0,,RPTNMLKKPHIGFAU86CC
花蓮市,房地(土地+建物),花蓮縣花蓮市建和街４５巷６號,64.27,住,,,1120630,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0830929,122.55,3,1,3,有,無,有,13500,110,,0.0,0,水電瓦斯費及網路費皆由承租人負擔。,RPPNMLLKPHIGFAU56CC
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕十七街２５號三樓之五,6.54,住,,,1120630,土地1建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840831,34.7,1,0,1,有,無,有,6500,187,,0.0,0,,RPRNMLLKPHIGFAU76CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中美十街７３號,65.0,住,,,1120707,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0650914,90.9,3,1,3,有,無,有,12000,132,,0.0,0,,RPPNMLMKPHIGFAU66CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國民七街５１號６樓之１０,2.67,住,,,1120706,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,27.57,1,0,1,有,有,有,6500,236,,0.0,0,,RPPNMLNKPHIGFAU76CC
花蓮市,建物,花蓮縣花蓮市中美路２４８號,0.0,商,,,1120712,土地0建物0車位0,二層,3,套房(1房1廳1衛),住家用,鋼筋混擬土、鋼骨或鋼骨混合造,1110526,39.64,1,0,1,有,無,有,8000,202,,0.0,0,,RPQNMLNKPHIGFAU86CC
花蓮市,土地,明義段323地號,17.0,住,,,1120711,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,13500,794,,0.0,0,,RPRNMLNKPHIGFAU96CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國民七街５１號１２樓之６,2.5,商,,,1120713,土地1建物1車位0,十二層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831115,33.44,1,0,1,有,有,有,5500,164,,0.0,0,,RPPNMLOKPHIGFAU86CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯二路８３號６樓之８,4.04,住,,,1120627,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,31.509999999999998,1,0,0,有,有,有,8000,254,,0.0,0,,RPQNMLOKPHIGFAU96CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路４１２巷１７號五樓之５,15.76,商,,,1120712,土地1建物1車位0,五層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0811217,95.7,2,1,2,有,有,有,12000,125,,0.0,0,,RPRNMLOKPHIGFAU07CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉仁里三街７０號２樓之２,23.76,住,,,1120629,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860620,73.84,2,2,1,有,有,有,16000,217,,0.0,0,,RPSNMLOKPHIGFAU17CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國民八街６３號五樓之一,4.43,商,,,1120704,土地1建物1車位0,五層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831117,31.21,1,0,1,有,無,有,6000,192,,0.0,0,每月水電瓦斯、網路費由承租人另外負擔。,RPTNMLOKPHIGFAU27CC
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕十七街２５號五樓之一,12.32,住,,,1120706,土地1建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840831,66.71,2,1,1,有,無,有,12000,180,,0.0,0,水電瓦斯、網路費及每月管理費810元由承租人另外負擔。,RPUNMLOKPHIGFAU37CC
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉池南路一段１３６號,285.27,其他,,,1120701,土地1建物1車位0,全,1,透天厝,見其他登記事項,鋼骨或鋼骨混合造,0960816,90.27,2,2,1,有,無,有,20000,222,,0.0,0,,RPPNMLRKPHIGFAU27DC
花蓮市,房地(土地+建物),花蓮縣花蓮市林政街３３巷１弄３號,74.0,住,,,1120710,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0700107,96.31,5,2,2,有,無,有,20000,208,,0.0,0,,RPQNMLRKPHIGFAU37DC
