鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
觀音區,建物,桃園市觀音區九如一街２巷３號,0.0,住,,,1120525,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0830629,186.23,3,1,2,有,無,有,13500,72,,0.0,0,社會住宅,RPRNMLTJOHIGFBH78CC
中壢區,建物,桃園市中壢區南園二路５７ 巷１８ 弄１０ 號四樓,0.0,住,,,1120530,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710823,99.52,3,1,1,有,無,有,12000,121,,0.0,0,社會住宅,RPSNMLTJOHIGFBH88CC
觀音區,建物,桃園市觀音區福興街１２３號７樓之１,0.0,其他,,,1120605,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100201,77.36,2,1,1,有,有,有,15000,194,,0.0,0,社會住宅 管理費另計960元 機車位另計0元,RPTNMLTJOHIGFBH98CC
中壢區,房地(土地+建物),桃園市中壢區高鐵南路二段２５８號,71.1,住,,,1120516,土地1建物1車位0,一層,14,店面(店鋪),店舖、店舖（附屬儲藏室）,鋼筋混凝土造,1040812,465.3,0,0,0,無,無,無,95000,204,,0.0,0,,RPUNMLTJOHIGFBH09CC
中壢區,建物,桃園市中壢區龍昌路１６１巷１６號三樓之８,0.0,住,,,1120607,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0991025,21.7,0,0,0,無,無,有,8000,369,,0.0,0,社會住宅 水電費 網路費 第四台費用由承租人負擔,RPVNMLTJOHIGFBH56CC
中壢區,建物,桃園市中壢區仁慈路１７８號十一樓之２,0.0,住,,,1120608,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840805,38.55,0,0,0,無,有,有,8200,213,,0.0,0,社會住宅 管理費水電費由承租人負擔,RPWNMLTJOHIGFBH66CC
中壢區,建物,桃園市中壢區龍慈路８９號１２樓,0.0,住,,,1120601,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1110112,134.64,3,2,2,有,有,有,11000,82,,0.0,0,社會住宅,RPXNMLTJOHIGFBH76CC
中壢區,建物,桃園市中壢區龍慈路５７號１５樓,0.0,住,,,1120601,土地0建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1110112,108.97,3,2,2,有,有,有,11000,101,,0.0,0,社會住宅,RPOOMLTJOHIGFBH58CC
中壢區,建物,桃園市中壢區元化路２１５巷１５號５樓之１、元化路２１５巷１５號５樓,0.0,商,,,1120601,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0890801,66.99,2,2,1,有,有,有,13000,194,,0.0,0,社會住宅,RPPOMLTJOHIGFBH68CC
中壢區,建物,桃園市中壢區環中東路二段３１２巷１０號二樓之８,0.0,住,,,1120609,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880528,57.67,0,0,0,無,有,有,10000,173,,0.0,0,社會住宅 水電費由承租人負擔,RPQOMLTJOHIGFBH78CC
