鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
草屯鎮,建物,南投縣草屯鎮富中路７５號六樓,0.0,住,,,1120713,土地0建物0車位0,六層,7,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1040825,40.64,1,0,1,有,有,有,6100,150,,0.0,0,,RPPNMLTKPHIGFBM66CC
草屯鎮,建物,南投縣草屯鎮富中路７３號五樓,0.0,住,,,1120713,土地0建物0車位0,五層,7,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1040825,40.64,1,0,1,有,有,有,6100,150,,0.0,0,,RPQNMLTKPHIGFBM76CC
草屯鎮,土地,新御史段1296地號,141.5,農,,,1120623,土地1建物0車位0,,,其他,,,,0.0,3,0,0,有,無,無,12000,85,,0.0,0,,RPPNMLKLPHIGFBM48CC
南投市,房地(土地+建物),南投縣南投市南崗二路４１７號,84.0,住,,,1120723,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0671219,164.22,4,3,3,有,無,無,23000,140,,0.0,0,,RPPNMLOLPHIGFAM78CC
草屯鎮,房地(土地+建物),南投縣草屯鎮太平路一段４８９號１樓,103.0,住,,,1120725,土地1建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土造,0691108,65.07,7,3,3,有,無,有,20000,307,,0.0,0,,RPQNMLQLPHIGFBM56CC
草屯鎮,房地(土地+建物),南投縣草屯鎮太平路一段５５７號,107.93,住,,,1120713,土地1建物1車位0,全,3,透天厝,住商用,鋼骨鋼筋混凝土造,0900321,122.13,2,2,3,有,無,無,26000,213,,0.0,0,,RPRNMLQLPHIGFBM66CC
草屯鎮,房地(土地+建物),南投縣草屯鎮正義街９７號６之２樓,16.36,住,,,1120730,土地1建物1車位0,見其他登記事項,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810221,86.88,2,2,1,有,有,有,13000,150,,0.0,0,,RPPNMLLMPHIGFBM68CC
竹山鎮,房地(土地+建物),南投縣竹山鎮枋坪巷２之３０號,87.44,住,,,1120728,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0850301,242.33,7,2,3,有,無,有,16000,66,,0.0,0,,RPQNMLLMPHIGFDM98CC
埔里鎮,房地(土地+建物),南投縣埔里鎮中山路四段８７之１號,1470.84,,山坡地保育區,農牧用地,1120720,土地1建物1車位0,見其他登記事項,2,農舍,農舍,鋼造,0810909,395.62,0,0,0,無,無,有,80000,,,0.0,0,第一年租金為80000元/月，第二年租金為82400元/月，第三年租金為84872元/月，第四年租金為87418元/月，第五年租金為90041元/月,RPRNMLLJQHIGFCM78CC
南投市,房地(土地+建物),南投縣南投市南新路３１３巷１５號,127.38,住,,,1120801,土地2建物1車位0,全,4,透天厝,住宅、水箱、停車空間,鋼筋混凝土造,1031023,270.62,4,2,5,有,有,有,28000,103,,0.0,0,,RPPNMLMJQHIGFAM48CC
埔里鎮,房地(土地+建物),南投縣埔里鎮中正路３７７號,37.83,商,,,1120804,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0820120,150.78,3,1,3,有,無,有,40000,265,,0.0,0,租金支付情形：1.112/08/10~112/09/09租金為0元2.112/09/10~114/09/09每個月租金為40000元含甲方依法應代扣繳之稅捐及費用3.114/09/10~117/09/09每個月租金為41000元含甲方依法應代扣繳之稅捐及費用4.本件承租部份土地面積約12坪,RPPNMLRJQHIGFCM56CC
