鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
三民區,建物,高雄市三民區覺民路２８５巷３９號三樓,0.0,住,,,1120713,土地0建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040813,131.38,3,1,2,有,有,有,24500,186,,0.0,0,,RPUNMLLJQHIGFDE38CC
三民區,房地(土地+建物),高雄市三民區同盟一路９３號六樓之１２,8.32,住,,,1120724,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土,1111013,66.57,2,1,1,有,有,有,18500,278,,0.0,0,,RPWNMLLJQHIGFDE58CC
三民區,房地(土地+建物),高雄市三民區同盟一路９５號十五樓之１,11.78,住,,,1120704,土地1建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土,1111013,85.97,2,1,1,有,有,有,18000,209,,0.0,0,,RPOOMLLJQHIGFDE87CC
三民區,房地(土地+建物),高雄市三民區同盟一路９５號三樓之８,11.29,住,,,1120715,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土,1111013,85.1,1,1,1,有,有,有,20000,235,,0.0,0,,RPQOMLLJQHIGFDE08CC
三民區,房地(土地+建物),高雄市三民區同盟一路９３號八樓之６,9.89,住,,,1120721,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土,1111013,80.4,2,1,1,有,有,有,18000,224,,0.0,0,,RPROMLLJQHIGFDE18CC
三民區,房地(土地+建物)+車位,高雄市三民區建興路３６５巷１號十三樓之３,5.45,商,,,1120724,土地1建物1車位1,十三層,26,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091102,83.16,2,1,1,有,有,有,22500,271,坡道平面,13.44,0,,RPSOMLLJQHIGFDE28CC
前鎮區,房地(土地+建物),高雄市前鎮區中山二路２０６號１２樓,13.76,商,,,1120716,土地1建物1車位0,十二層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030715,196.29,3,2,2,有,有,有,50000,255,,0.0,0,,RPPNMLLJQHIGFCE77CC
前鎮區,建物,高雄市前鎮區中華五路１４６３號２樓,0.0,商,,,1120801,土地0建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940330,94.73,3,2,2,有,有,有,19990,211,,0.0,0,,RPQNMLLJQHIGFCE87CC
前鎮區,房地(土地+建物),高雄市前鎮區瑞和街１６５號,14.9,住,,,1120711,土地2建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0681009,47.88,0,0,0,無,無,無,18000,376,,0.0,0,,RPRNMLLJQHIGFCE97CC
前鎮區,房地(土地+建物),高雄市前鎮區瑞隆路４８６號,54.0,商,,,1120724,土地1建物1車位0,全,2,透天厝,,加強磚造,0600831,98.86,1,2,2,有,無,有,40000,405,,0.0,0,,RPSNMLLJQHIGFCE08CC
